tcgplayer_id,directLow,market,low,mid
39095 (Nonfoil),10.93,13.6,10.0,14.26
39095 (Foil),,30.94,27.6,32.29
122658 (Nonfoil),1.41,2.21,1.05,3.0
122658 (Foil),6.79,7.79,5.0,8.11
122600 (Foil),,13.32,12.59,13.43
122600 (Nonfoil),5.0,5.38,3.45,5.59
162121 (Foil),6.67,6.77,6.07,7.13
162121 (Nonfoil),4.06,3.53,2.7,4.72
118436 (Foil),,18.96,17.98,23.0
118436 (Nonfoil),22.0,19.27,17.85,22.15
187193 (Foil),3.63,3.58,2.37,3.64
187193 (Nonfoil),2.19,2.14,1.04,2.25
214206 (Foil),,7.13,7.1,7.95
214206 (Nonfoil),,,,
212698 (Foil),39.97,31.12,25.0,32.29
212698 (Nonfoil),8.1,8.3,4.5,9.02
7168 (Nonfoil),5.34,9.07,6.25,8.77
7168 (Foil),,28.58,23.01,29.99
4183 (Nonfoil),59.51,67.7,48.0,67.19
4183 (Foil),,,,
192640 (Nonfoil),2.9,4.34,2.0,4.75
192640 (Foil),,8.17,5.8,9.21
6060 (Nonfoil),14.23,33.76,24.99,30.8
6060 (Foil),,,,
166661 (Foil),27.03,28.96,24.49,32.82
166661 (Nonfoil),15.99,13.05,9.0,13.88
82224 (Nonfoil),16.35,17.73,13.5,18.94
82224 (Foil),29.75,38.17,28.77,34.95
221811 (Nonfoil),39.89,30.99,30.99,38.0
221811 (Foil),49.96,44.45,35.0,50.51
218874 (Foil),9.25,8.96,7.98,10.0
218874 (Nonfoil),7.99,7.38,5.0,7.99
12093 (Nonfoil),,14.43,8.0,15.99
12093 (Foil),,51.73,36.5,67.75
12490 (Nonfoil),,11.7,8.0,11.69
12490 (Foil),37.04,36.56,37.04,40.97
128281 (Foil),101.95,115.67,101.95,108.16
128281 (Nonfoil),74.47,64.15,56.99,70.71
221816 (Foil),26.95,25.0,22.48,30.0
221816 (Nonfoil),19.79,17.87,14.0,19.79
155854 (Nonfoil),,,,
155854 (Foil),8.0,7.08,6.25,10.99
190787 (Nonfoil),6.34,6.0,4.94,8.0
190787 (Foil),35.0,35.97,29.99,38.0
71039 (Nonfoil),16.29,17.35,13.95,19.6
71039 (Foil),34.96,44.62,34.2,42.0
12500 (Nonfoil),55.0,50.15,42.99,49.0
12500 (Foil),,134.75,109.99,109.99
175196 (Nonfoil),7.38,7.21,5.5,9.83
175196 (Foil),16.32,17.78,15.35,17.31
9598 (Nonfoil),5.99,6.8,4.71,6.75
9598 (Foil),49.66,57.77,40.0,50.99
180789 (Foil),40.49,37.66,40.0,41.59
180789 (Nonfoil),15.49,13.38,12.5,15.5
13911 (Nonfoil),7.9,14.03,6.4,13.99
13911 (Foil),,51.0,30.7,48.65
92829 (Nonfoil),25.48,25.68,20.41,27.08
92829 (Foil),42.52,45.51,39.96,46.89
144856 (Foil),,12.18,5.94,9.79
144856 (Nonfoil),6.48,8.19,4.65,7.87
18037 (Nonfoil),7.74,9.72,7.0,9.86
18037 (Foil),,30.08,35.21,46.74
190748 (Foil),75.55,88.53,73.0,85.0
190748 (Nonfoil),22.74,22.57,17.98,25.9
212695 (Nonfoil),6.55,5.35,3.8,6.23
212695 (Foil),6.7,6.55,4.5,7.13
212696 (Nonfoil),7.95,6.81,6.01,7.99
212696 (Foil),24.33,25.09,17.7,26.04
36402 (Nonfoil),4.23,4.93,2.18,6.06
36402 (Foil),13.56,17.72,13.04,16.96
83296 (Nonfoil),19.47,20.26,15.75,20.21
83296 (Foil),,33.61,26.36,33.61
216053 (Nonfoil),4.03,4.97,3.24,5.48
216053 (Foil),,,,
161448 (Nonfoil),11.95,10.62,8.22,11.7
161448 (Foil),,14.22,10.11,22.04
142038 (Nonfoil),3.66,3.18,2.25,3.76
142038 (Foil),,5.08,3.99,5.31
